PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
1633;"Consejo General del Poder Judicial. Servicio de atención a la ciudadanía";"";"";"";"Metro: Quevedo (línea 2), Iglesia (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=adc01e79ee71c010VgnVCM1000000b205a0aRCRD";"TRAFALGAR";"CALLE";"V";"27";"";"";"";"y 29";"MADRID";"MADRID";"28010";"3";"TRAFALGAR";"7";"CHAMBERI";"440497";"4476100";"40.433421116821314";"-3.701529795091964";"917 005 868";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612496;"Fiscalía de Discapacidades y Tutelas";"";"";"";"Metro: Plaza de España (líneas 3 y 10), Ventura Rodríguez (línea 3)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=72ee5457f8cf7410VgnVCM1000000b205a0aRCRD";"VENTURA RODRIGUEZ";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439455";"4475204";"40.42527563017234";"-3.71372800896066";"914 438 730";"915 414 806";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
5185507;"Fiscalía del Tribunal Supremo";"";"";"";"Metro: Colón , Alonso MartínezBus: 5 , 7 , 14 , 27 , 45 , 150";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=196a0afbaecfd110VgnVCM1000000b205a0aRCRD";"FORTUNY";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"441498";"4475767";"40.42860469149395";"-3.690984085212356";"913 352 141";"913 352 298";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612132;"Fiscalía Superior Comunidad de Madrid";"";"";"";"Metro: Colón (línea 4), Alonso Martínez (líneas 4, 5 y 10)  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70887985458f7410VgnVCM1000000b205a0aRCRD";"GENERAL CASTA&amp;Ntilde;OS";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"441109";"4475126";"40.424691322944106";"-3.6942249750928022";"914 934 852";"914 934 853";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612943;"Fiscalía -  Sección Civil";"";"";"";"Metro: Cuzco (línea 10), Tetuán (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9779812b8df7410VgnVCM1000000b205a0aRCRD";"FRANCISCO GERVAS";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441242";"4479147";"40.46092028473553";"-3.6930293398507077";"914 936 349";"914 936 363";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612817;"Fiscalía - Contencioso Administrativo";"";"";"";"Metro: Chueca (línea 5), Banco de España (línea 2)  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bab4bceef5df7410VgnVCM1000000b205a0aRCRD";"BARQUILLO";"CALLE";"V";"23";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440983";"4474873";"40.42239673022926";"-3.695692324367985";"915 221 735";"915 232 827";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612449;"Fiscalía - Delitos Económicos";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5a3307f57cf7410VgnVCM1000000b205a0aRCRD";"POETA JOAN MARAGALL";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441351";"4479437";"40.46354276590144";"-3.6917713300891353";"914 932 660 / 914 932 663";"914 932 664";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612483;"Fiscalía - Ejecutorias Penales";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ac795457f8cf7410VgnVCM1000000b205a0aRCRD";"POETA JOAN MARAGALL";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441351";"4479437";"40.46354276590144";"-3.6917713300891353";"914 932 472";"914 932 473";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612716;"Fiscalía - Enjuiciamiento Penal";"";"";"";"Metro: Ciudad Lineal (línea 5), García Noblejas (línea 7)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=698c66dad3df7410VgnVCM1000000b205a0aRCRD";"JULIAN CAMARILLO";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28037";"1";"SIMANCAS";"20";"SAN BLAS-CANILLEJAS";"446386";"4476126";"40.43405111073974";"-3.632104845105916";"914 931 485";"914 931 438";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612611;"Fiscalía - Guarda e Instrucción";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f732fb250ecf7410VgnVCM1000000b205a0aRCRD";"CASTILLA";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28046";"3";"CASTILLEJOS";"6";"TETUAN";"441500";"4479623";"40.46522363588108";"-3.690027045206217";"914 932 588";"914 932 589";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
11769737;"Fiscalía - Guardia de menores";"";"";"";"Metro: García Noblejas (línea 7)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8849103c47533810VgnVCM2000001f4a900aRCRD";"HERMANOS GARCIA NOBLEJAS";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28037";"1";"SIMANCAS";"20";"SAN BLAS-CANILLEJAS";"445922";"4476537";"40.437721520809724";"-3.6376097249566857";"914 931 098";"914 931 109";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612837;"Fiscalía - Laboral";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9fab206337df7410VgnVCM1000000b205a0aRCRD";"POETA JOAN MARAGALL";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441351";"4479437";"40.46354276590144";"-3.6917713300891353";"914 933 127";"914 933 036";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
11054550;"Fiscalía - Medio Ambiente";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=95d55c39b312e610VgnVCM2000001f4a900aRCRD";"POETA JOAN MARAGALL";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441351";"4479437";"40.46354276590144";"-3.6917713300891353";"914 936 576 / 914 933 124";"914 934 634";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
11769739;"Fiscalía - Menores";"";"";"";"Metro: García Noblejas (línea 7)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=343a103c47533810VgnVCM2000001f4a900aRCRD";"HERMANOS GARCIA NOBLEJAS";"CALLE";"V";"37";"";"";"";"";"MADRID";"MADRID";"28037";"1";"SIMANCAS";"20";"SAN BLAS-CANILLEJAS";"446302";"4475944";"40.43241144287643";"-3.633080417119615";"914 931 202 / 914 931 203";"914 931 108 / 914 931 109";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612881;"Fiscalía - Registro Civil";"";"";"";"Metro: Alfonso XIII (línea 4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8441206337df7410VgnVCM1000000b205a0aRCRD";"PRADILLO";"CALLE";"V";"66";"";"";"";"";"MADRID";"MADRID";"28002";"3";"CIUDAD JARDIN";"5";"CHAMARTIN";"443334";"4477925";"40.45005963898069";"-3.6682500834600336";"914 936 679";"914 936 746";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
12110906;"Fiscalía - Sección de lo Social";"";"";"";"Metro: Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=754d092e156da810VgnVCM1000001d4a900aRCRD";"PRINCESA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439529";"4475145";"40.42474343764168";"-3.7128566472819906";"";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/Juzgados"
11054566;"Fiscalía - Secciones 1 a 5";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"Sección 1&amp;ordf;. Teléfono 914930701 Fax 914930700  Sección 2&amp;ordf;. Teléfono 914930696 Fax 914930700  Sección 3&amp;ordf;. Teléfono 914932473 / 914932474 Fax 914932476  Sección 4&amp;ordf;. Teléfono 914930707 Fax 914930705  Sección 5&amp;ordf;. Teléfono 914930711 Fax 914930705";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86075c39b312e610VgnVCM2000001f4a900aRCRD";"POETA JOAN MARAGALL";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441351";"4479437";"40.46354276590144";"-3.6917713300891353";"Ver pestaña Más información";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7612756;"Fiscalía - Violencia Familiar";"";"";"";"Metro: García Noblejas (línea 7)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d318e7e015df7410VgnVCM1000000b205a0aRCRD";"ALBARRACIN";"CALLE";"V";"31";"";"";"";"";"MADRID";"MADRID";"28037";"1";"SIMANCAS";"20";"SAN BLAS-CANILLEJAS";"446428";"4476044";"40.43331852345729";"-3.6316052860559234";"914 932 422 / 914 933 111";"914 933 115 / 914 932 427";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
11768894;"Instituto de Medicina Legal y Ciencias Forenses de la Comunidad de Madrid";"";"";"";"Consulta los siguientes enlaces";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=06e28f0261133810VgnVCM1000001d4a900aRCRD";"JULIO CANO LASSO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28055";"4";"TIMON";"21";"BARAJAS";"448752";"4481418";"40.48187275814413";"-3.6046450950339386";"915 441 131";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
7613531;"Juzgado de Guardia. Plaza de Castilla";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"Juzgado de Guardia. Teléfono 914 932 513 / Fax: 914 932 629 Juzgado de Guardia de Diligencias. Teléfono: 914 931 354 / 914 931 355 / Fax: 914 932 515 Juzgado de Guardia Permanente. Teléfono: 914 932 513 / 914 932 514 / Fax: 914 932 515 / 914 932 629";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c77743b5e1c08410VgnVCM1000000b205a0aRCRD";"CASTILLA";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28046";"3";"CASTILLEJOS";"6";"TETUAN";"441500";"4479623";"40.46522363588108";"-3.690027045206217";"Ver pestaña Más información";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
11469962;"Juzgado de Primera Instancia nº 101. Calle Princesa";"";"";"Juzgado 101";"Metro: Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9eb9236b5670c710VgnVCM1000001d4a900aRCRD";"PRINCESA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439529";"4475145";"40.42474343764168";"-3.7128566472819906";"914 437 957";"914 437 930";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/Juzgados"
551;"Juzgados de Instrucción. Plaza de Castilla";"";"";"Consulte el siguiente enlace";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"Número 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11bis, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a757e0e1f181c010VgnVCM1000000b205a0aRCRD";"CASTILLA";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28046";"3";"CASTILLEJOS";"6";"TETUAN";"441500";"4479623";"40.46522363588108";"-3.690027045206217";"914 932 000 y Consulte el apartado servicios";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/Juzgados"
